USC00115430,20240101,PRCP,0,,,7,0800
USC00115430,20240101,SNOW,0,,,7,
USC00115430,20240101,SNWD,0,,,7,0800
USC00115493,20240101,TMAX,0,,,7,0800
USC00115493,20240101,TMIN,-28,,,7,0800
USC00115493,20240101,TOBS,0,,,7,0800
USC00115493,20240101,PRCP,5,,,7,0800
USC00115493,20240101,SNOW,0,T,,7,
USC00115493,20240101,SNWD,0,T,,7,0800
USC00115515,20240101,PRCP,0,,,7,0800
USC00115515,20240101,SNOW,0,,,7,0700
USC00115515,20240101,SNWD,0,,,7,
USC00115539,20240101,PRCP,0,T,,7,0700
USC00115539,20240101,SNOW,0,,,7,
USC00115539,20240101,SNWD,0,,,7,0700
USC00115562,20240101,PRCP,0,,,7,0700
USC00115562,20240101,SNOW,0,,,7,
USC00115562,20240101,SNWD,0,,,7,0700
USC00115660,20240101,TMAX,17,,,7,0630
USC00115660,20240101,TMIN,-6,,,7,0630
USC00115660,20240101,TOBS,-6,,,7,0630
USC00115660,20240101,PRCP,0,,,7,0630
USC00115660,20240101,SNOW,0,,,7,
USC00115660,20240101,SNWD,0,,,7,0630
USC00115712,20240101,TMAX,17,,,7,0800
USC00115712,20240101,TMIN,-28,,,7,0800
USC00115712,20240101,TOBS,-11,,,7,0800
USC00115712,20240101,PRCP,0,,,7,0800
